pha_code,pha_name,ed_rate_per_100k,poor_health_pct,population,area_type
20063,Reservoir - West,194.22473972172835,13.457379113888432,24125.0,Metro Melbourne
20025,Richmond (Vic.),19831.99245035317,11.270346361621938,32051.0,Metro Melbourne
20103,Ringwood,27229.014974101992,14.408494244908402,18919.0,Metro Melbourne
20260,Robinvale,28135.721596301115,13.386705905953912,3749.0,Metro Melbourne
20081,Romsey,20186.992677633276,14.201464191841854,10835.0,Metro Melbourne
20183,Rosebud - McCrae,40937.82113705745,14.914972310790585,23149.0,Metro Melbourne
20093,Roxburgh Park - Somerton,31342.96109340465,22.209200014148056,24430.0,Metro Melbourne
20229,Rutherglen,66369.45235416306,15.414573997422055,4021.0,Metro Melbourne
20249,Sale,49956.16790185659,16.881128175975213,15264.0,Metro Melbourne
20155,Seabrook,24703.22108124275,19.67957273375075,4999.0,Metro Melbourne
20159,Seddon - Kingsville/ Yarraville,26476.534299340718,12.328798614709351,25014.0,Metro Melbourne
20225,Seymour,21207.756247296256,18.30956825185596,6546.0,Metro Melbourne
20226,Seymour Region,13665.326398807427,14.132981951110391,4633.0,Metro Melbourne
20267,Shepparton - North/ Shepparton Region - West,66451.45217997924,16.735733180875282,30366.0,Metro Melbourne
20268,Shepparton Region - East,35794.71808480934,15.925206377522189,4010.0,Metro Melbourne
20018,South Melbourne,28445.86316930055,11.168504237492652,11856.0,Metro Melbourne
20136,Springvale/ Springvale South,18683.749524801267,13.489392763718568,35243.0,Metro Melbourne
20147,St Albans – North/ Kings Park (Vic.),41278.1231273505,17.99899665774082,34914.0,Metro Melbourne
20148,St Albans - South/ Sunshine North,10305.054625784875,15.91756016554472,29817.0,Metro Melbourne
20019,St Kilda,24899.233453467794,10.595233816137885,42249.0,Metro Melbourne
20200,Strathfieldsaye,28630.639425162182,13.668612762505873,10679.0,Metro Melbourne
20079,Strathmore,18655.776134096795,9.190515748350284,10107.0,Metro Melbourne
20086,Sunbury,24956.381857600383,15.655919773647033,45464.0,Metro Melbourne
20038,Surrey Hills (East) - Mont Albert,8950.461245931656,8.995731972707526,10251.0,Metro Melbourne
20261,Swan Hill/ Swan Hill Region,73559.32074548917,15.898382468387469,17633.0,Metro Melbourne
20149,Sydenham,24134.75512353042,16.794328310709126,11859.0,Metro Melbourne
20169,Tarneit,20191.200273191665,21.50980278383989,57562.0,Metro Melbourne
20150,Taylors Lakes,22502.633611994082,12.111700948226323,17070.0,Metro Melbourne
20034,Templestowe/ Templestowe Lower,19897.697678442568,10.731684506730002,31381.0,Metro Melbourne
20004,Thornbury,26472.095754582606,11.921938485147786,19153.0,Metro Melbourne
20246,Traralgon/ Yallourn North - Glengarry,39768.008249466526,16.268938333981172,33437.0,Metro Melbourne
20075,Wallan/ Whittlesea,27246.383406618163,17.310643745423352,33716.0,Metro Melbourne
20230,Wangaratta,56297.773525789875,16.953668766766363,19884.0,Metro Melbourne
20098,Wantirna/ Wantirna South,22039.802531805377,13.196665362940402,32545.0,Metro Melbourne
20275,Warrnambool - North/ Warrnambool - South,39551.672658731724,15.95059638679481,35768.0,Metro Melbourne
20188,Wendouree - Miners Rest,35113.40770912858,19.62094829965801,15312.0,Metro Melbourne
20170,Werribee,33452.13325279886,19.127045847693193,41927.0,Metro Melbourne
20234,West Wodonga/ Wodonga,54869.74883991838,18.37381604195722,43207.0,Metro Melbourne
20243,Wonthaggi - Inverloch,43886.54561867785,14.983056550905006,26745.0,Metro Melbourne
20205,Woodend,15872.42981897997,12.723625116394379,7911.0,Metro Melbourne
20171,Wyndham Vale,24597.30617567412,23.58533628356053,33671.0,Metro Melbourne
20235,Yackandandah,40122.171853209016,13.589639719127078,5189.0,Metro Melbourne
20107,Yarra Ranges - South West,27350.721482965044,13.56203960660338,29709.0,Metro Melbourne
20113,Yarra Valley,26369.80725022894,17.237602897040304,16947.0,Metro Melbourne
29999,Unknown Vic,,,,Regional Victoria
20101,Ballarat,29012.931577391257,14.71030129704167,35418.0,Metro Melbourne
20102,Creswick - Daylesford - Ballan,20553.903671535616,12.635666544853553,27955.0,Metro Melbourne
20103,Maryborough - Pyrenees,19169.79727293548,14.408494244908402,18919.0,Metro Melbourne
20201,Bendigo,38859.40637851485,13.96766865887828,8311.0,Metro Melbourne
20202,Heathcote - Castlemaine - Kyneton,19197.721704826108,14.597324150188566,20438.0,Metro Melbourne
20203,Loddon - Elmore,31331.967145241055,13.857458332981967,5026.0,Metro Melbourne
20301,Barwon - West,17015.310302948437,14.81750391180075,22397.0,Metro Melbourne
20302,Geelong,22003.6768724789,15.33720646864,212023.0,Metro Melbourne
20303,Surf Coast - Bellarine Peninsula,16585.21235053839,12.719809150016248,93195.0,Metro Melbourne
20401,Upper Goulburn Valley,19193.504432198424,15.152004386564506,59693.0,Metro Melbourne
20402,Wangaratta - Benalla,44715.398775592796,15.599863079104894,48279.0,Metro Melbourne
20403,Wodonga - Alpine,43924.62407216634,16.255418843149396,76236.0,Metro Melbourne
20501,Baw Baw,32908.14066097424,15.915038602886435,57761.0,Metro Melbourne
20502,Gippsland - East,41287.0810011878,15.461058829450852,48588.0,Metro Melbourne
20503,Gippsland - South West,30230.12589640909,14.815753944506614,71238.0,Metro Melbourne
20504,Latrobe Valley,42111.165233695865,17.73266221458816,76967.0,Metro Melbourne
20505,Wellington,40502.27848695734,15.640896584532916,45358.0,Metro Melbourne
20601,Brunswick - Coburg,25602.387335349536,13.983734068215307,91068.0,Metro Melbourne
20602,Darebin - South,25544.288247604327,10.933086292549007,53875.0,Metro Melbourne
20603,Essendon,23080.51159495404,13.167974778728812,69421.0,Metro Melbourne
20604,Melbourne City,20620.613568175373,10.972177830302135,153091.0,Metro Melbourne
20605,Port Phillip,22706.046189821423,10.84246914546726,103458.0,Metro Melbourne
20606,Stonnington - West,19674.988814852837,9.446758231682606,63519.0,Metro Melbourne
20607,Yarra,22504.858573383823,11.191471476088138,92481.0,Metro Melbourne
20701,Boroondara,15132.956997416184,9.309955979179323,169789.0,Metro Melbourne
20702,Manningham - West,19164.608270720175,10.743265553037102,99303.0,Metro Melbourne
20703,Whitehorse - West,18276.216546439373,11.536372924413026,108426.0,Metro Melbourne
20801,Bayside,20351.70805898805,8.795021255004777,102328.0,Metro Melbourne
20802,Glen Eira,16764.277291489296,12.167015259374988,158280.0,Metro Melbourne
