pha_code,pha_name,poor_health_pct,ed_asr_per_100k
20203,Heathcote,13.857458332981967,26908.9255866554
20203,Heathcote,13.857458332981967,30583.052782425864
20203,Loddon - Elmore,14.943220111287474,26908.9255866554
20203,Loddon - Elmore,14.943220111287474,30583.052782425864
20204,Kyneton,13.16375146135966,15801.32657667534
20205,Woodend,12.723625116394379,16652.77207618894
20206,Bendigo Region - North,15.080603420985167,34574.87948874489
20207,Loddon,14.856943418328482,27930.476758140954
20208,Bannockburn/ Golden Plains - South/ Winchelsea,14.81750391180075,16417.63174222616
20209,Belmont/ Geelong,13.415259729077246,21960.046156361357
20210,Corio - Lovely Banks/ Norlane,22.592943282020958,35426.904338219116
20211,Geelong West - Hamlyn Heights,13.282700071867797,19526.509553999935
20212,Grovedale,15.40688287968081,16315.633697583155
20213,Highton/ Newtown (Vic.),11.8856473129323,13412.547802092677
20214,Lara,15.126980908011351,22114.93865469991
20215,Leopold,15.392931986678844,22446.453101878025
20216,Newcomb - Moolap,17.238916052723546,32097.360535244654
20217,North Geelong - Bell Park,14.869280426466437,26129.19442673553
20218,Clifton Springs,15.03980403104952,20661.11650457176
20219,Lorne - Anglesea/ Torquay,11.442015612751343,12422.991959254192
20220,Ocean Grove/ Barwon Heads - Armstrong Creek,12.660036919604632,17699.036110716443
20221,Portarlington,12.654601309711135,20208.415650874867
20222,Alexandra/ Euroa/ Nagambie/ Upper Yarra Valley,14.29737577298368,22683.87460832623
20223,Kilmore - Broadford/ Yea,16.09850845836718,20836.853734286244
20224,Mansfield (Vic.),13.549578762476575,13806.314344006974
20225,Seymour,18.30956825185596,19627.167755640465
20226,Seymour Region,14.132981951110391,13260.536600478996
20227,Benalla,15.628708602460511,22004.100691628577
